Order Id,First Name,Last Name,Mobile,Email,Status,Billing Address,Shipping Address,Shipping Type,Message,Payment Method,Transaction Id,Created_at,Updated_at
10238-1681209084-GKUUTEI,javed,kureshi,1234567890,javed.kureshi@dstest.com,completed,",rajasthan,560002,jaipur,india",",rajasthan,560002,jaipur,india",online,Test,online,tok_1MveYrLN6Zr869p3jfpqfjS0,11-04-2023 16:01:32,27-04-2023 15:32:39
10257-1683890474-LCNYZPR,Kajal,Gupta,79486349069,,completed,",R,302004,J,11",",R,302004,J,11",,,online,tok_1N6u2ALN6Zr869p3nck9BRM4,12-05-2023 16:51:14,12-05-2023 16:51:14
10269-1684243329-VNHYDMU,kajal,gupta,8318873018,,completed,",R,302004,J,10",",R,302004,J,10",,,online,tok_1N8NpNLN6Zr869p3QWxqLL85,16-05-2023 18:52:09,16-05-2023 18:52:09
10270-1684245090-JKENSEE,kajal,gupta,8318873018,,completed,",R,302004,J,2",",R,302004,J,2",,order completed,online,tok_1N8OHmLN6Zr869p3X6g7wvIp,16-05-2023 19:21:30,17-05-2023 18:31:14
10271-1684402455-QYQNPLV,Kajal,Gupta,98787707890,,completed,",R,302004,J,8",",R,302004,J,8",,,online,tok_1N93DvLN6Zr869p3JMXSKYkx,18-05-2023 15:04:15,18-05-2023 15:04:15
10272-1684485919-MFNYAUF,prashant,pal,8318873018,,completed,",R,302030,J,101",",R,302030,J,101",,,online,tok_1N9Ow7LN6Zr869p3f0LQip9s,19-05-2023 14:15:19,19-05-2023 14:15:19
10279-1684992777-BLQRYRR,Test,user,8855996654,,completed,",R,331301,T,101",",R,302020,J,101",,Delivered ,online,tok_1NBWnFLN6Zr869p3nXWuqMwu,25-05-2023 11:02:57,25-05-2023 11:08:13
10280-1684995557-JKUKFUR,Test,user,8855996654,,completed,",R,302020,J,101",",R,302020,J,101",,Test,online,tok_1NBXW4LN6Zr869p3OPUxKliX,25-05-2023 11:49:17,25-05-2023 11:52:47
10290-1685339438-OMGXMVZ,Test,user,8855996654,,completed,",R,302020,J,101",",R,302020,J,101",,Test,online,tok_1NCyyYLN6Zr869p3Q6uQ9M8E,29-05-2023 11:20:38,29-05-2023 11:21:24
10291-1685339671-FUSVPUW,Test,user,8855996654,,completed,",T,333333,t,101",",R,302020,J,101",,Test,online,tok_1NCz2ILN6Zr869p3uOmWzkDH,29-05-2023 11:24:31,29-05-2023 11:25:46
10296-1685356671-ZLMATHO,Test,user,546546545,,completed,",T,225522,t,101",",T,225522,t,101",,Test,online,tok_1ND3SULN6Zr869p3cx5GF4EW,29-05-2023 16:07:51,29-05-2023 16:08:25
